Country-code,Major area (UN),"Region (GR)
(UN)",Sort Bureau,Bureu/operation (UNHCR),COUNTRY,Refugees,People in refugee-like situations,Total refugees and people in refugee-like situations,Of whom assisted by UNHCR,Asylum-seekers (pending cases),Returned refugees,"Internally Displaced Persons (IDPs) protected/ assisted by UNHCR, incl. people in IDP-like situations",Returned IDPs,Stateless persons,Others helped by UNHCR,Total population of concern
LUX,Europe,Western Europe,4,RBE,Luxembourg,"3,109",0,"3,109",0,29,0,0,0,162,0,"3,300"
MAD,Africa,Southern Africa,1,SAO,Madagascar,0,0,0,0,0,0,0,0,0,0,0
MLW,Africa,Southern Africa,1,SAO,Malawi,"4,175",0,"4,175","4,175","6,541",0,0,0,0,0,"10,716"
MLS,Asia,East Asia and the Pacific,2,RBAP,Malaysia,"36,088",583,"36,671","36,671","9,323",0,0,0,"40,001","61,317","147,312"
MLI,Africa,West Africa,1,WA,Mali,"9,578",0,"9,578","9,578","1,916",0,0,0,0,0,"11,494"
MTA,Europe,Western Europe,4,RBE,Malta,"4,331",0,"4,331",0,503,0,0,0,0,0,"4,834"
MAU,Africa,North Africa,3,MENA,Mauritania,"1,041","26,000","27,041",642,62,"7,036",0,0,0,0,"34,139"
MTS,Africa,Southern Africa,1,SAO,Mauritius,0,0,0,0,0,0,0,0,0,0,0
MEX,Latin America and the Caribbean,Latin America,5,RBAC,Mexico,"1,055",0,"1,055",83,18,0,0,0,0,0,"1,073"
FSM,Oceania,East Asia and the Pacific,2,RBAP,Micronesia (Federated States of),1,0,1,0,0,0,0,0,0,0,1
MNG,Asia,East Asia and the Pacific,2,RBAP,Mongolia,11,0,11,0,0,0,0,0,358,0,369
MNE,Europe,South-Eastern Europe,4,RBE,Montenegro,"24,741",0,"24,741","24,741",1,0,0,0,"1,500",0,"26,242"
MOR,Africa,North Africa,3,MENA,Morocco,766,0,766,766,469,0,0,0,0,0,"1,235"
MOZ,Africa,Southern Africa,1,SAO,Mozambique,"3,163",0,"3,163","1,802","4,456",0,0,0,0,0,"7,619"
MYA,Asia,East Asia and the Pacific,2,RBAP,Myanmar,0,0,0,0,0,0,"67,290",0,"723,571",0,"790,861"
NAM,Africa,Southern Africa,1,SAO,Namibia,"6,799",0,"6,799","6,799","1,323",20,0,0,0,0,"8,142"
NEP,Asia,South Asia,2,RBAP,Nepal,"122,332","2,500","124,832","102,329",981,1,0,0,"800,000",59,"925,873"
NET,Europe,Western Europe,4,RBE,Netherlands,"77,600",0,"77,600",0,"9,743",0,0,0,"4,591",0,"91,934"
NZL,Oceania,East Asia and the Pacific,2,RBAP,New Zealand,"2,716",0,"2,716",0,152,0,0,0,0,0,"2,868"
NIC,Latin America and the Caribbean,Latin America,5,RBAC,Nicaragua,147,0,147,51,0,0,0,0,0,0,147
NGR,Africa,West Africa,1,WA,Niger,320,0,320,194,24,0,0,0,0,0,344
